codigo,placa,linha,latitude,longitude,dataHora,velocidade,id_migracao_trajeto,sentido,trajeto,hodometro,direcao
B11,KRK9516,14,-22.961201,-43.648054,2023-07-24 22:19:04,0.0,,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],920.4, 
B12,LMH5981,14,-22.961899,-43.648537,2023-07-24 20:17:07,0.0,,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],910.6, 
B24,LSO7028,14,-22.961115,-43.648094,2023-07-24 20:04:43,0.0,,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],949.2,325
B25,,14,-22.961437,-43.648473,2023-07-24 22:31:32,0.0,,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],870.7,303
B28,KQP5E29,14,-22.961214,-43.648294,2023-07-24 20:51:36,0.0,,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],909.4,329
B40,,14,-22.961286,-43.648068,2023-07-24 19:43:39,0.0,,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],596.8,179
B41,,14,-22.961217,-43.648175,2023-07-24 22:47:12,0.0,,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],948.7, 
901001,RJD7J89,22,-22.974109,-43.363704,2023-07-24 22:48:36,46.6,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],17136.3,192
B47,,14,-22.961203,-43.648142,2023-07-24 22:35:12,0.0,,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],947.0,339
B048,,14,-22.961283,-43.648291,2023-07-24 20:57:12,0.0,,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],938.7,300
B49,,14,-22.961154,-43.648088,2023-07-24 22:23:31,0.0,,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],903.7, 
B50,,14,-22.96142,-43.648442,2023-07-24 22:34:03,0.0,,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],810.8,303
B52,,14,-22.96119,-43.648218,2023-07-24 21:27:50,0.0,,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],857.5,325
B54,,14,-22.961241,-43.648123,2023-07-24 22:26:34,0.1,,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],951.1,72
B55,,14,-22.961456,-43.648221,2023-07-24 22:26:12,0.0,,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],892.2,229
B53,,14,-22.961209,-43.648219,2023-07-24 22:35:56,0.0,,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],962.7, 
B51,,14,-22.961334,-43.647914,2023-07-24 21:59:16,0.0,,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],956.7, 
901050,,46,-23.001371,-43.36491,2023-07-24 22:48:23,0.0,,volta,46 - ALVORADA X PENHA (EXPRESSO) [VOLTA],24025.8,85
901077,,52,-22.964404,-43.391964,2023-07-24 22:03:44,0.0,,ida,52 - SENTIDO ALVORADA (PARADOR) [IDA],26312.9, 
903045,,17,-22.920312,-43.608123,2023-07-24 22:48:24,0.0,,ida,17 - SANTA CRUZ X CAMPO GRANDE (PARADOR) [IDA],25510.0, 
902119,,35,-23.000857,-43.364303,2023-07-24 22:32:58,12.4,,volta,35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA],7402.7,181
901058,,51,-22.965167,-43.391421,2023-07-24 22:33:24,6.1,,volta,51 - SENTIDO V. MILITAR (PARADOR) [VOLTA],43776.1,46
902105,,31,-22.876334,-43.329946,2023-07-24 22:39:18,0.0,,ida,31 - VICENTE DE CARVALHO X ALVORADA (SEMIDIRETO) [IDA],10019.1, 
901071,,22,-22.964732,-43.391882,2023-07-24 22:31:42,0.0,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],43177.5,354
903027,,50,-22.972063,-43.401193,2023-07-24 22:48:24,0.0,,ida,50 - SENTIDO JD. OCEANICO (PARADOR) [IDA],49147.6,186
901066,,22,-22.973325,-43.36536,2023-07-24 22:48:32,55.9,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],49666.9,271
903026,,38,-23.00103,-43.364676,2023-07-24 22:32:16,24.1,,volta,38 - ALVORADA X FUNDÃO (PARADOR) [VOLTA],48683.3,264
903029,,50,-23.002017,-43.327101,2023-07-24 22:48:34,58.9,,volta,50 - SENTIDO T. OLIMPICO (PARADOR) [VOLTA],33065.1,293
902116,,35,-22.878249,-43.336326,2023-07-24 22:48:29,0.0,,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],10872.3, 
902115,,31,-22.876998,-43.329708,2023-07-24 21:12:59,0.0,,ida,31 - VICENTE DE CARVALHO X ALVORADA (SEMIDIRETO) [IDA],14545.0, 
903028,,50,-22.876283,-43.329674,2023-07-24 22:44:18,0.0,,ida,50 - SENTIDO JD. OCEANICO (PARADOR) [IDA],31654.9, 
901061,,41,-22.965597,-43.391351,2023-07-24 22:01:59,11.7,,volta,41 - TERMINAL RECREIO X PAULO DA PORTELA (EXPRESSO) [VOLTA],42903.5,153
903030,,50,-23.006803,-43.312559,2023-07-24 22:48:17,0.0,,volta,50 - SENTIDO T. OLIMPICO (PARADOR) [VOLTA],40520.6,91
903057,,17,-22.920533,-43.60797,2023-06-26 04:59:59,0.0,,ida,17 - SANTA CRUZ X CAMPO GRANDE (PARADOR) [IDA],12199.8, 
901051,,53,-22.884539,-43.399952,2023-07-24 22:48:21,0.0,,ida,53 - SENTIDO ALVORADA (EXPRESSO) [IDA],38985.4,184
901064,,22,-22.964402,-43.3918,2023-07-24 20:14:29,0.0,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],48675.9,72
902107,,31,-22.87641,-43.330031,2023-07-24 22:12:23,0.0,,ida,31 - VICENTE DE CARVALHO X ALVORADA (SEMIDIRETO) [IDA],8975.0, 
901049,,0,-22.964756,-43.392166,2023-07-24 17:35:46,0.0,,,,33060.699, 
901073,,52,-22.964726,-43.391933,2023-07-24 22:15:27,0.0,,ida,52 - SENTIDO ALVORADA (PARADOR) [IDA],41571.4, 
901048,,46,-22.973274,-43.382059,2023-07-24 22:48:21,14.1,,ida,46 - PENHA X ALVORADA (EXPRESSO) [IDA],26166.9,89
901065,,52,-22.964491,-43.3919,2023-07-24 22:34:01,0.0,,ida,52 - SENTIDO ALVORADA (PARADOR) [IDA],35120.3, 
