codigo,placa,linha,latitude,longitude,dataHora,velocidade,id_migracao_trajeto,sentido,trajeto,hodometro,direcao
901054,,40,-22.964662,-43.391685,2023-07-25 21:01:09,0.0,,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],21336.9,71
903009,,38,-22.865947,-43.334453,2023-07-25 23:00:05,0.0,,ida,38 - FUNDÃO X ALVORADA (PARADOR) [IDA],47086.8,197
903010,,38,-23.001365,-43.36757,2023-07-25 23:00:06,25.7,,volta,38 - ALVORADA X FUNDÃO (PARADOR) [VOLTA],43607.0,89
903011,,42,-22.853421,-43.248168,2023-07-25 23:00:21,33.5,,volta,42 - MADUREIRA MANANCEIA X GALEAO (PARADOR) [VOLTA],45296.3,356
903012,,38,-22.869934,-43.33541,2023-07-25 23:00:15,16.6,,volta,38 - ALVORADA X FUNDÃO (PARADOR) [VOLTA],47803.5,20
903015,,42,-22.876611,-43.329506,2023-07-25 23:00:09,0.0,,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],47847.6, 
903016,,38,-23.000995,-43.365097,2023-07-25 23:00:06,0.0,,volta,38 - ALVORADA X FUNDÃO (PARADOR) [VOLTA],42464.6,230
903017,,50,-22.876599,-43.329515,2023-07-25 22:36:54,3.0,,ida,50 - SENTIDO JD. OCEANICO (PARADOR) [IDA],44859.3,85
903018,,38,-22.839889,-43.239415,2023-07-25 23:00:14,0.0,,ida,,11121.1,141
903019,,50,-22.876099,-43.32944,2023-07-24 15:02:37,0.0,,ida,50 - SENTIDO JD. OCEANICO (PARADOR) [IDA],4452.0, 
903020,,50,-23.006783,-43.312462,2023-07-25 22:52:40,0.0,,volta,50 - SENTIDO T. OLIMPICO (PARADOR) [VOLTA],43739.7,83
903023,,42,-22.876882,-43.330267,2023-07-25 23:00:19,0.0,,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],39307.7, 
903024,,38,-22.839491,-43.239643,2023-07-25 23:00:21,0.0,,ida,38 - FUNDÃO X ALVORADA (PARADOR) [IDA],37895.5,146
903025,,50,-22.876893,-43.329717,2023-07-25 21:47:22,3.6,,ida,50 - SENTIDO JD. OCEANICO (PARADOR) [IDA],39428.3,162
903013,,38,-23.000899,-43.364981,2023-07-25 23:00:24,0.5,,volta,38 - ALVORADA X FUNDÃO (PARADOR) [VOLTA],44386.5,261
903014,,38,-22.841916,-43.274014,2023-07-25 23:00:25,49.7,,ida,38 - FUNDÃO X ALVORADA (PARADOR) [IDA],51640.4,288
902097,,35,-22.876368,-43.329914,2023-07-25 22:56:25,0.0,,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],11135.7, 
901045,,52,-22.965406,-43.39143,2023-07-25 21:49:05,0.0,,ida,52 - SENTIDO ALVORADA (PARADOR) [IDA],32218.5,66
901053,,22,-23.000693,-43.364593,2023-07-25 22:58:46,0.6,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],19760.5,90
901060,,41,-22.965644,-43.39123,2023-07-25 22:52:51,0.0,,volta,41 - TERMINAL RECREIO X PAULO DA PORTELA (EXPRESSO) [VOLTA],24741.8, 
903052,,17,-22.915978,-43.61476,2023-07-25 23:00:23,59.5,,volta,17 - CAMPO GRANDE  X SANTA CRUZ (PARADOR) [VOLTA],21764.4,285
903060,,17,-22.903637,-43.566248,2023-07-25 22:55:32,9.7,,volta,17 - CAMPO GRANDE  X SANTA CRUZ (PARADOR) [VOLTA],20494.6,252
903063,,17,-22.901795,-43.55532,2023-07-25 22:58:15,11.5,,volta,17 - CAMPO GRANDE  X SANTA CRUZ (PARADOR) [VOLTA],21457.9,261
901000,,22,-23.000686,-43.365921,2023-07-25 23:00:13,0.0,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],30189.7, 
902113,,35,-22.876351,-43.330366,2023-07-25 21:22:59,0.0,,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],8847.5, 
902118,,35,-22.876312,-43.329706,2023-07-25 23:00:12,0.0,,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],7640.6, 
902117,,31,-22.87648,-43.329873,2023-07-25 23:00:15,0.0,,ida,31 - VICENTE DE CARVALHO X ALVORADA (SEMIDIRETO) [IDA],10234.6, 
901052,,51,-22.964312,-43.391752,2023-07-25 22:22:54,0.0,,volta,51 - SENTIDO V. MILITAR (PARADOR) [VOLTA],20219.3, 
901056,,22,-22.964518,-43.391765,2023-07-25 22:52:14,0.0,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],25289.5, 
901044,,46,-22.964737,-43.392122,2023-07-25 22:02:06,0.0,,ida,46 - PENHA X ALVORADA (EXPRESSO) [IDA],29581.4,346
903033,,38,-22.973261,-43.381449,2023-07-25 23:00:05,52.1,,ida,38 - FUNDÃO X ALVORADA (PARADOR) [IDA],36407.6,90
902049,,46,-22.854522,-43.251527,2023-07-25 22:28:00,0.0,,ida,46 - PENHA X ALVORADA (EXPRESSO) [IDA],36014.8, 
902020,,46,-22.853315,-43.313598,2023-07-25 23:00:21,31.5,,volta,46 - ALVORADA X PENHA (EXPRESSO) [VOLTA],31569.8,82
902022,,46,-22.852962,-43.320038,2023-07-25 23:00:21,0.0,,volta,46 - ALVORADA X PENHA (EXPRESSO) [VOLTA],30710.8,53
901092,,22,-22.964666,-43.391703,2023-07-25 22:37:19,0.0,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],2414.0, 
901093,,51,-23.001077,-43.430776,2023-07-25 23:00:10,38.5,,ida,51 - SENTIDO RECREIO (PARADOR) [IDA],27740.0,228
902023,,46,-22.855372,-43.251317,2023-07-25 18:16:45,0.0,,ida,46 - PENHA X ALVORADA (EXPRESSO) [IDA],24161.5, 
902059,,41,-22.854387,-43.251903,2023-07-25 21:10:07,0.0,,volta,41 - TERMINAL RECREIO X PAULO DA PORTELA (EXPRESSO) [VOLTA],35690.6, 
902056,,43,-22.854514,-43.251306,2023-07-25 23:00:15,0.0,,volta,43 - SANTA EFIGENIA X FUNDÃO (EXPRESSO) [VOLTA],34582.1,100
901091,,40,-22.965688,-43.391285,2023-07-25 21:44:14,0.1,,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],31074.3,154
901096,,51,-22.964863,-43.391652,2023-07-25 21:49:36,0.0,,volta,51 - SENTIDO V. MILITAR (PARADOR) [VOLTA],34298.1,59
901086,,53,-22.964535,-43.392114,2023-07-25 22:35:02,0.0,,ida,53 - SENTIDO ALVORADA (EXPRESSO) [IDA],48370.3, 
902032,,46,-22.85473,-43.251445,2023-07-25 22:47:14,0.0,,ida,46 - PENHA X ALVORADA (EXPRESSO) [IDA],36262.7, 
902024,,46,-22.854772,-43.251995,2023-07-25 22:51:29,0.0,,ida,46 - PENHA X ALVORADA (EXPRESSO) [IDA],35203.2, 
901094,,0,-22.964758,-43.391588,2023-07-25 23:00:13,0.0,,,,32744.9, 
902027,,46,-22.854238,-43.251883,2023-07-25 22:03:45,0.0,,ida,46 - PENHA X ALVORADA (EXPRESSO) [IDA],32859.199, 
902031,,41,-22.854087,-43.251728,2023-07-25 22:21:26,0.0,,volta,41 - TERMINAL RECREIO X PAULO DA PORTELA (EXPRESSO) [VOLTA],34805.7, 
902028,,46,-22.854543,-43.251176,2023-07-25 23:00:03,0.0,,ida,46 - PENHA X ALVORADA (EXPRESSO) [IDA],37542.1, 
902029,,46,-22.854282,-43.251883,2023-07-25 21:13:13,0.0,,ida,46 - PENHA X ALVORADA (EXPRESSO) [IDA],35412.3, 
902018,,40,-22.965078,-43.39215,2023-07-25 22:53:40,0.0,,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],23625.7, 
902046,,41,-22.854385,-43.251825,2023-07-25 21:04:54,0.0,,volta,41 - TERMINAL RECREIO X PAULO DA PORTELA (EXPRESSO) [VOLTA],33363.3, 
12715,,10,-22.918973,-43.607601,2023-07-25 23:00:10,0.0,,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],42299.0, 
902010,,40,-22.965329,-43.391213,2023-07-25 22:17:07,0.0,,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],10957.5, 
902026,,41,-22.854169,-43.25165,2023-07-25 22:35:36,0.0,,volta,41 - TERMINAL RECREIO X PAULO DA PORTELA (EXPRESSO) [VOLTA],33962.4, 
901089,,0,-22.964434,-43.391756,2023-07-25 22:39:08,0.0,,,,45838.8, 
86850,,14,-23.008182,-43.442758,2023-05-03 09:22:53,0.0,,volta,14 - SALVADOR ALLENDE x SANTA EUGÊNIA,7855.3, 
901062,,51,-22.965534,-43.3914,2023-07-25 21:49:40,13.9,,volta,51 - SENTIDO V. MILITAR (PARADOR) [VOLTA],46894.8,155
902033,,43,-22.854346,-43.251284,2023-07-25 21:36:17,0.0,,volta,43 - SANTA EFIGENIA X FUNDÃO (EXPRESSO) [VOLTA],33362.1, 
902053,,46,-22.870661,-43.335647,2023-07-25 23:00:05,40.0,,volta,46 - ALVORADA X PENHA (EXPRESSO) [VOLTA],33476.8,19
902035,,43,-22.854409,-43.251839,2023-07-25 22:17:06,0.0,,ida,43 - FUNDÃO X SANTA EFIGENIA (EXPRESSO) [IDA],29043.7, 
E902000,,41,-22.854785,-43.25214,2023-07-25 21:39:51,0.0,,volta,41 - TERMINAL RECREIO X PAULO DA PORTELA (EXPRESSO) [VOLTA],10383.6, 
901067,,22,-22.965546,-43.391617,2023-07-25 22:56:23,0.0,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],41722.7,148
